MatchID,OpponentID,OppoID,Outcome,points,OwnScore,OpponentScore,Side,CoachID,,,total points,,49
1,Opponent1,1,win,3,1,0,home,Coach1,,,GD,,
2,Opponent2,2,tie,1,1,1,away,Coach1,,,GF,,28
3,Opponent3,3,loss,0,0,2,away,Coach1,,,,,
4,Opponent4,4,loss,0,0,3,home,Coach1,,,,,
5,Opponent5,5,loss,0,0,4,away,Coach1,,,,,
6,Opponent6,6,win,3,2,1,home,Coach1,,,,,
7,Opponent7,7,loss,0,0,1,home,Coach1,,,,,
8,Opponent8,8,tie,1,1,1,away,Coach1,,,,,
9,Opponent9,9,loss,0,2,5,home,Coach1,,,,,
10,Opponent10,10,loss,0,0,2,away,Coach2,,,,,
11,Opponent11,11,win,3,3,2,home,Coach2,,,,,
12,Opponent12,12,tie,1,2,2,away,Coach2,,,,,
13,Opponent13,13,loss,0,1,4,away,Coach2,,,,,
14,Opponent14,14,win,3,4,0,home,Coach2,,,,,
15,Opponent15,15,win,3,2,0,home,Coach3,,,,,
16,Opponent16,16,tie,1,1,1,away,Coach3,,,,,
17,Opponent17,17,win,3,1,0,away,Coach3,,,,,
18,Opponent18,18,win,3,3,1,home,Coach3,,,,,
19,Opponent3,3,tie,1,0,0,home,Coach3,,,,,
20,Opponent19,19,tie,1,0,0,away,Coach3,,,,,
21,Opponent6,6,loss,0,1,2,away,Coach3,,,,,
22,Opponent5,5,loss,0,0,2,home,Coach3,,,,,
23,Opponent4,4,loss,0,0,4,away,Coach3,,,,,
24,Opponent19,19,tie,1,1,1,home,Coach3,,,,,
25,Opponent10,10,win,3,2,1,home,Coach3,,,,,
26,Opponent9,9,loss,0,1,5,away,Coach3,,,,,
27,Opponent12,12,win,3,3,1,home,Coach3,,,,,
28,Opponent11,11,loss,0,0,1,away,Coach3,,,,,
29,Opponent7,7,loss,0,1,2,away,Coach3,,,,,
30,Opponent8,8,win,3,2,0,home,Coach3,,,,,
31,Opponent1,1,win,3,2,1,away,Coach3,,,,,
32,Opponent2,2,loss,0,1,3,home,Coach3,,,,,
33,Opponent16,16,tie,1,0,0,home,Coach3,,,,,
34,Opponent18,18,tie,1,1,1,away,Coach3,,,,,
35,Opponent17,17,win,3,1,0,home,Coach3,,,,,
36,Opponent15,15,win,3,2,0,away,Coach3,,,,,
37,Opponent13,13,tie,1,1,1,home,Coach3,,,,,
38,Opponent14,14,loss,0,1,3,away,Coach3,,,,,
